CEO,"*I am Adeeb ChatBoot*💬

Aslamualaikum thanks for your message. We are not here at the moment, but we'll get back to you soon!

If you have any Questions ❓ Leave the message...✉ with complete details, such as screenshots, video, and Files.

Main jaise hi free hunga aapko message karunga aur aapko iska solution nikal dunga.

Mujhe Social Media per follow karne ke liye Yahan per click Karen.
👇👇👇👇👇👇👇👇👇👇
https://bit.ly/All-Social-Media

Adeeb Technology Lab App, Software, Extention Free Download Now.
👇👇👇👇👇👇👇👇👇👇
https://bit.ly/AdeebTechLab

More info:
📞: 051 613 2233
💬: 030 92 333 121
📧: info.AdeebTechLab@gmail.com
🌐: www.AdeebTechLab.com
📍: Islamabad, PAK
🕒: Mon-Sat, 10:00 AM to 10:00 PM.

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
payment method,"*I am Adeeb ChatBoot*💬

Bank Name: HBL
Name: Salman
Account No: 14737991982703

Bank Name: JAZZCASH
Name: Salman Yasin
Account No: 03092333121

Bank Name: EASYPAISA
Name: Salman Yasin
Account No: 03441713141

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Ramadan Office Opening Timing,"*I am Adeeb ChatBoot*💬

Ramadan Office Opening Timing 
Time: 03:00 PM to 04:00 AM

Physical Classes Timing:
Class1: 03:00 AM to 05:00 PM
Break:  05:00 PM to 08:00 PM
Class2: 08:00 PM to 10:00 PM Only Female
Class3: 12:00 AM to 02:00 AM
Class4: 02:00 AM to 04:00 AM

Online Internship Timing:
Meeting: 10:00 PM to 11:00 PM

Online Classes Timing:
Class 1: 12:00 AM to 02:00 AM
Class 2: 02:00 AM to 04:00 AM
OFF
Friday

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Time Table,"*I am Adeeb ChatBoot*💬

Office Opening Timing
Time: 10:00 AM to 8:00 PM
Onsite Classes Timing:
Morning Class: 11:00 AM to 01:00 PM
Break: 01:00 PM to 02:00 PM
Evening Class: 03:00 PM to 05:00 PM

Online Internship Timing:
Meeting: 09:00 PM to 11:00 PM

Online Classes Timing:
Class 1: 11:00 AM to 01:00 PM
Class 2: 03:00 PM to 05:00 PM
Class 3: 09:00 PM to 11:00 PM

OFF
Friday
Sunday

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
internship,"*I am Adeeb ChatBoot*💬

Announcement
Last Date To Apply: 12/12/2025

Monthly Fee: Rs. 1,000
 Launch your tech career with hands-on experience!

Type: On-Site / Remote

Duration: 3 or 6 Months

Internship Requirements:
💻 Personal Laptop
🌐 Home Wi-Fi

Internship Fields Include:
📌 Office Work (IT)
📌 Social Media Marketing
📌 Graphic Designing
📌 Video Editing
📌 Web, App & Software Development
📌 Team Management

Internship Benefits:
✅ Work on real projects
✅ Learn industry skills
✅ Internship Certificate
✅ Online & On-Site Options Available

Form link: https://computer-course-registration-form.vercel.app/

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
location,"*I am Adeeb ChatBoot*💬

Mr/Mis {name}  Apna Menu select Karen Aage jaane ke liye For Example L1

""Bahawalpur Contacts""
Islamabad Contacts

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Address Bahawalpur Contacts,"*I am Adeeb ChatBoot*💬

Bahawalpur Contact Details

📞: 062 30 97 240
💬: 03 3939 00 444
📧: info.AdeebTechLab@gmail.com
🌐: www.AdeebTechLab.com
🕒: Mon-Sat, 10:00 AM to 10:00 PM.
💻: https://LMS-Adeeb-Technology-Lab.vercel.app
📍: Bhatta No#1 Chowk, Gulberg Road, Abbas Colony Street No# 2, Adeeb Technology Lab, Bahawalpur 63100. https://maps.app.goo.gl/6n3ChKdcwx4ZYEPd8

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Address Islamabad Contact,"*I am Adeeb ChatBoot*💬

Islamabad Contact Details

📞: 051 613 2233
💬: 030 92 333 121
📧: info.AdeebTechLab@gmail.com
🌐: www.AdeebTechLab.com
🕒: Mon-Sat, 10:00 AM to 10:00 PM.
💻: https://LMS-Adeeb-Technology-Lab.vercel.app
📍: Lane F Ghora Sardar Rod, Mehrban Town Block C, The Computer Courses Islamabad, Pakistan 46000. https://maps.app.goo.gl/NMFnrXXf93ULVqb79

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Thank you so much,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} You're Welcome😊.
Is chat ke baad apna feedback lazmi dain. Taky ham is system ko or behtar bana saken. 
*Shukria*
Feedback. 👇👇👇👇👇
https://play.google.com/store/apps/details?id=com.adeebtechlab.apps

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Thankyou somuch,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} You're Welcome😊.
Is chat ke baad apna feedback lazmi dain. Taky ham is system ko or behtar bana saken. 
Shukria
Feedback. 👇👇👇👇👇
https://play.google.com/store/apps/details?id=com.adeebtechlab.apps"
Thank you,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} You're Welcome😊.
Is chat ke baad apna feedback lazmi dain. Taky ham is system ko or behtar bana saken. 
Shukria
Feedback. 👇👇👇👇👇
https://play.google.com/store/apps/details?id=com.adeebtechlab.apps"
Thanks,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} You're Welcome😊.
Is chat ke baad apna feedback lazmi dain. Taky ham is system ko or behtar bana saken. 
Shukria
Feedback. 👇👇👇👇👇
https://play.google.com/store/apps/details?id=com.adeebtechlab.apps"
Exit,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Thanks for Visiting Adeeb Technology Lab.
Is chat ke baad apna feedback lazmi dain. Taky ham is system ko or behtar bana saken.
Shukria
Feedback. 👇👇👇👇👇
https://play.google.com/store/apps/details?id=com.adeebtechlab.apps"
Help,"*I am Adeeb ChatBoot*💬

Welcome to the AdeebTechnology Lab. How can I help you Mr/Mis {name} ?

Menu Options
 🌐 Tech
🖥️ Courses
🤖 Projects
 📖 IUB Portal
 ⬇️ Downloads
 🤔 Portfolio
 ✨ Other CEO.💬 Chat with Adeeb

Click here to Adeeb Technology Lab Islamabad 👇👇👇👇👇
https://wa.me/adeebtechnologylab

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Main Menu,"*I am Adeeb ChatBoot*💬

Welcome to the AdeebTechnology Lab. How can I help you Mr/Mis {name} ?

📋 Menu Options

🌐 ''Tech''
🖥️ ''Courses''
🤖 ''Projects''
📖 ''IUB Portal''
⬇️ ''Downloads''
🤔 ''Portfolio''
✨ ''Other''
✨ ''LMS Link''
💬 ''Chat with Adeeb''

Click here to Adeeb Technology Lab Islamabad 👇👇👇👇👇
https://wa.me/adeebtechnologylab"
Tech,"*I am Adeeb ChatBoot*💬

Mr/Mis {name}  Apna Menu select Karen

📋 Menu Options

📱 ''Phone Problems''
💻 ''Computer Problems''
🌐 ''Internet Problems''
💰 ''Earning Problems''
📲 ''Whatsapp Problems''
📘 ''Facebook Problems''
▶️ ''Youtube Problems''
🛠️ ''Hire Me''
❓ ''Other''
Chat with Adeeb

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Courses,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Apna Menu select Karen Aage jaane ke liye For Example CC1

🎓 ''Free Courses''
📚 ''Regular Classes''

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Projects,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Apna Menu select Karen.

🔧 ""Hardware Project""
💻 ""Software Project""
📚 ""Thesis""
🗣️ ""Presentation""
📝 ""Assignment""
🎓 ""FYP""
🖥️ ""SSD""
💬 ""Chat with Adeeb""


Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
IUB Portal,"I am Adeeb ChatBoot

Mr/Mis {name} Apna Menu select Karen.

🌐 ''Eportal Problem''
🏫 ''My IUB Problem''
📚 ''LMS Problem''
📄 ''Result Problem''
💰 ''Fee Problem''
Chat with Adeeb''

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Downloading,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Apna menu select Karen.

📥 ''Free Software''
🎨 ''Free Photoshop Data''
🗺️ ''Free AutoCad Map''
🤖 ''Arduino Uno Projects''
📊 ''MS Office Data''
📲 ''Download Adeeb App Software Extension''
Chat with Adeeb''

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
Portfolio,"*I am Adeeb ChatBoot*💬

Mr/Mis {name} Apna menu select Karen.

🧑 ''Salman Adeeb''
🏢 ''Adeeb Technology Lab''
💻 ''The Computer Courses''
📞 ''Contact Details''

Main Menu par wapas jane ke liye ""Main Menu"" likhain, aur chat band karne ke liye ""Exit"" likhain."
